Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,org:group,concept:instance,lifecycle:transition,concept:name,responsible,department,group,channel
case-4767,T05 Print and send confirmation of receipt - complete,Resource17,2010-12-20 13:35:44.989,Variant 5,5,Group 2,task-4844,complete,T05 Print and send confirmation of receipt,Resource17,General,,Internet
case-4769,Confirmation of receipt - complete,Resource10,2010-12-17 10:17:43.814,Variant 5,5,Group 1,task-4193,complete,Confirmation of receipt,Resource11,General,,Internet
case-4769,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:26:25.577,Variant 5,5,Group 4,task-4771,complete,T02 Check confirmation of receipt,Resource11,General,,Internet
case-4769,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:33:21.802,Variant 5,5,Group 3,task-4813,complete,T04 Determine confirmation of receipt,Resource11,General,,Internet
case-4769,T06 Determine necessity of stop advice - complete,Resource26,2010-12-21 11:11:52.039,Variant 5,5,EMPTY,task-4772,complete,T06 Determine necessity of stop advice,Resource11,General,,Internet
case-4769,T10 Determine necessity to stop indication - complete,Resource26,2010-12-21 11:12:11.623,Variant 5,5,Group 1,task-5260,complete,T10 Determine necessity to stop indication,Resource11,General,,Internet
case-4769,T05 Print and send confirmation of receipt - complete,admin1,2010-12-21 11:22:34.266,Variant 5,5,Group 2,task-4834,complete,T05 Print and send confirmation of receipt,Resource11,General,,Internet
case-4771,Confirmation of receipt - complete,Resource10,2010-12-17 10:17:03.921,Variant 65,65,Group 1,task-4226,complete,Confirmation of receipt,Resource15,General,,Internet
case-4771,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:27:20.636,Variant 65,65,Group 4,task-4767,complete,T02 Check confirmation of receipt,Resource15,General,,Internet
case-4771,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:38:48.972,Variant 65,65,Group 3,task-4816,complete,T04 Determine confirmation of receipt,Resource15,General,,Internet
case-4771,T05 Print and send confirmation of receipt - complete,admin1,2010-12-30 13:07:43.684,Variant 65,65,Group 2,task-4849,complete,T05 Print and send confirmation of receipt,Resource15,General,,Internet
case-4771,T06 Determine necessity of stop advice - complete,Resource15,2011-01-04 10:24:29.864,Variant 65,65,EMPTY,task-4768,complete,T06 Determine necessity of stop advice,Resource15,General,,Internet
case-4771,T07-3 Draft intern advice hold for aspect 3 - complete,Resource35,2011-01-11 10:24:48.073,Variant 65,65,Group 14,task-6660,complete,T07-3 Draft intern advice hold for aspect 3,Resource15,General,,Internet
case-4771,T07-2 Draft intern advice aspect 2 - complete,Resource33,2011-01-11 15:14:25.680,Variant 65,65,EMPTY,task-6661,complete,T07-2 Draft intern advice aspect 2,Resource15,General,,Internet
case-4771,T06 Determine necessity of stop advice - complete,Resource15,2011-01-13 11:07:20.473,Variant 65,65,EMPTY,task-7779,complete,T06 Determine necessity of stop advice,Resource15,General,,Internet
case-4771,T07-3 Draft intern advice hold for aspect 3 - complete,Resource15,2011-01-13 11:07:45.604,Variant 65,65,Group 14,task-8070,complete,T07-3 Draft intern advice hold for aspect 3,Resource15,General,,Internet
case-4771,T07-2 Draft intern advice aspect 2 - complete,Resource15,2011-01-13 11:07:57.393,Variant 65,65,Group 15,task-8071,complete,T07-2 Draft intern advice aspect 2,Resource15,General,,Internet
case-4771,T06 Determine necessity of stop advice - complete,Resource15,2011-01-13 11:08:12.119,Variant 65,65,Group 1,task-8073,complete,T06 Determine necessity of stop advice,Resource15,General,,Internet
case-4771,T07-3 Draft intern advice hold for aspect 3 - complete,Resource15,2011-01-13 11:08:28.915,Variant 65,65,Group 14,task-8074,complete,T07-3 Draft intern advice hold for aspect 3,Resource15,General,,Internet
case-4771,T07-2 Draft intern advice aspect 2 - complete,Resource15,2011-01-13 11:08:39.178,Variant 65,65,Group 15,task-8075,complete,T07-2 Draft intern advice aspect 2,Resource15,General,,Internet
case-4771,T06 Determine necessity of stop advice - complete,Resource15,2011-01-13 11:09:01.790,Variant 65,65,Group 1,task-8076,complete,T06 Determine necessity of stop advice,Resource15,General,,Internet
case-4771,T10 Determine necessity to stop indication - complete,Resource15,2011-01-13 11:09:20.055,Variant 65,65,Group 1,task-8078,complete,T10 Determine necessity to stop indication,Resource15,General,,Internet
case-4773,Confirmation of receipt - complete,Resource10,2010-12-17 10:18:24.004,Variant 1,1,Group 1,task-4235,complete,Confirmation of receipt,Resource04,General,,Internet
case-4773,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:24:25.535,Variant 1,1,Group 4,task-4774,complete,T02 Check confirmation of receipt,Resource04,General,,Internet
case-4773,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:35:01.148,Variant 1,1,Group 3,task-4804,complete,T04 Determine confirmation of receipt,Resource04,General,,Internet
case-4773,T05 Print and send confirmation of receipt - complete,admin1,2010-12-21 10:25:16.468,Variant 1,1,Group 2,task-4837,complete,T05 Print and send confirmation of receipt,Resource04,General,,Internet
case-4773,T06 Determine necessity of stop advice - complete,Resource04,2010-12-21 11:02:52.451,Variant 1,1,EMPTY,task-4775,complete,T06 Determine necessity of stop advice,Resource04,General,,Internet
case-4773,T10 Determine necessity to stop indication - complete,Resource04,2010-12-21 11:03:05.310,Variant 1,1,Group 1,task-5257,complete,T10 Determine necessity to stop indication,Resource04,General,,Internet
case-4774,Confirmation of receipt - complete,Resource10,2010-12-17 10:19:30.551,Variant 1,1,Group 1,task-4246,complete,Confirmation of receipt,Resource07,General,,Internet
case-4774,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:26:44.199,Variant 1,1,Group 4,task-4777,complete,T02 Check confirmation of receipt,Resource07,General,,Internet
case-4774,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:33:40.838,Variant 1,1,Group 3,task-4814,complete,T04 Determine confirmation of receipt,Resource07,General,,Internet
case-4774,T05 Print and send confirmation of receipt - complete,admin1,2010-12-24 10:25:24.065,Variant 1,1,Group 2,task-4835,complete,T05 Print and send confirmation of receipt,Resource07,General,,Internet
case-4774,T06 Determine necessity of stop advice - complete,Resource07,2010-12-24 13:54:27.318,Variant 1,1,EMPTY,task-4778,complete,T06 Determine necessity of stop advice,Resource07,General,,Internet
case-4774,T10 Determine necessity to stop indication - complete,Resource07,2010-12-24 13:56:57.236,Variant 1,1,Group 1,task-5653,complete,T10 Determine necessity to stop indication,Resource07,General,,Internet
case-4777,Confirmation of receipt - complete,Resource10,2010-12-17 10:17:21.054,Variant 5,5,Group 1,task-4261,complete,Confirmation of receipt,Resource11,General,,Internet
case-4777,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:26:07.771,Variant 5,5,Group 4,task-4769,complete,T02 Check confirmation of receipt,Resource11,General,,Internet
case-4777,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:37:55.751,Variant 5,5,Group 3,task-4812,complete,T04 Determine confirmation of receipt,Resource11,General,,Internet
case-4777,T06 Determine necessity of stop advice - complete,Resource11,2010-12-27 11:18:00.183,Variant 5,5,EMPTY,task-4770,complete,T06 Determine necessity of stop advice,Resource11,General,,Internet
case-4777,T10 Determine necessity to stop indication - complete,Resource11,2010-12-27 11:18:32.337,Variant 5,5,Group 1,task-5848,complete,T10 Determine necessity to stop indication,Resource11,General,,Internet
case-4777,T05 Print and send confirmation of receipt - complete,Resource07,2011-01-04 16:40:38.369,Variant 5,5,Group 2,task-4846,complete,T05 Print and send confirmation of receipt,Resource11,General,,Internet
case-4778,Confirmation of receipt - complete,Resource10,2010-12-17 10:19:50.098,Variant 5,5,Group 1,task-4262,complete,Confirmation of receipt,Resource07,General,,Internet
case-4778,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:24:47.466,Variant 5,5,Group 4,task-4779,complete,T02 Check confirmation of receipt,Resource07,General,,Internet
case-4778,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:37:04.384,Variant 5,5,Group 3,task-4806,complete,T04 Determine confirmation of receipt,Resource07,General,,Internet
case-4778,T06 Determine necessity of stop advice - complete,Resource07,2010-12-24 14:20:24.922,Variant 5,5,EMPTY,task-4780,complete,T06 Determine necessity of stop advice,Resource07,General,,Internet
case-4778,T10 Determine necessity to stop indication - complete,Resource07,2010-12-24 14:20:59.792,Variant 5,5,Group 1,task-5675,complete,T10 Determine necessity to stop indication,Resource07,General,,Internet
case-4778,T05 Print and send confirmation of receipt - complete,Resource07,2011-01-04 09:07:44.006,Variant 5,5,Group 2,task-4843,complete,T05 Print and send confirmation of receipt,Resource07,General,,Internet
case-4779,Confirmation of receipt - complete,Resource10,2010-12-17 10:20:29.781,Variant 5,5,Group 1,task-4271,complete,Confirmation of receipt,Resource11,General,,Internet
case-4779,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:27:03.150,Variant 5,5,Group 4,task-4783,complete,T02 Check confirmation of receipt,Resource11,General,,Internet
case-4779,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:38:19.241,Variant 5,5,Group 3,task-4815,complete,T04 Determine confirmation of receipt,Resource11,General,,Internet
case-4779,T06 Determine necessity of stop advice - complete,Resource11,2010-12-27 12:44:59.302,Variant 5,5,EMPTY,task-4784,complete,T06 Determine necessity of stop advice,Resource11,General,,Internet
case-4779,T10 Determine necessity to stop indication - complete,Resource11,2010-12-27 14:17:44.817,Variant 5,5,Group 1,task-5873,complete,T10 Determine necessity to stop indication,Resource11,General,,Internet
case-4779,T05 Print and send confirmation of receipt - complete,Resource11,2010-12-29 09:19:45.561,Variant 5,5,Group 2,task-4847,complete,T05 Print and send confirmation of receipt,Resource11,General,,Internet
case-4780,Confirmation of receipt - complete,Resource10,2010-12-17 10:20:07.645,Variant 5,5,Group 1,task-4272,complete,Confirmation of receipt,Resource07,General,,Post
case-4780,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:25:01.055,Variant 5,5,Group 4,task-4781,complete,T02 Check confirmation of receipt,Resource07,General,,Post
case-4780,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:30:47.275,Variant 5,5,Group 3,task-4807,complete,T04 Determine confirmation of receipt,Resource07,General,,Post
case-4780,T06 Determine necessity of stop advice - complete,Resource07,2010-12-24 14:07:03.617,Variant 5,5,EMPTY,task-4782,complete,T06 Determine necessity of stop advice,Resource07,General,,Post
case-4780,T10 Determine necessity to stop indication - complete,Resource07,2010-12-24 14:13:09.438,Variant 5,5,Group 1,task-5663,complete,T10 Determine necessity to stop indication,Resource07,General,,Post
case-4780,T05 Print and send confirmation of receipt - complete,Resource07,2011-01-06 10:49:38.437,Variant 5,5,Group 2,task-4826,complete,T05 Print and send confirmation of receipt,Resource07,General,,Post
case-4781,Confirmation of receipt - complete,Resource01,2010-12-15 09:44:43.229,Variant 4,4,Group 1,task-4275,complete,Confirmation of receipt,Resource07,General,,Desk
case-4781,T02 Check confirmation of receipt - complete,Resource01,2010-12-15 09:45:11.956,Variant 4,4,Group 4,task-4383,complete,T02 Check confirmation of receipt,Resource07,General,,Desk
case-4781,T06 Determine necessity of stop advice - complete,Resource01,2010-12-15 09:49:10.045,Variant 4,4,Group 1,task-4384,complete,T06 Determine necessity of stop advice,Resource07,General,,Desk
case-4781,T10 Determine necessity to stop indication - complete,Resource01,2010-12-15 09:49:34.866,Variant 4,4,Group 1,task-4386,complete,T10 Determine necessity to stop indication,Resource07,General,,Desk
case-4781,T04 Determine confirmation of receipt - complete,Resource19,2010-12-15 11:29:58.709,Variant 4,4,EMPTY,task-4385,complete,T04 Determine confirmation of receipt,Resource07,General,,Desk
case-4781,T05 Print and send confirmation of receipt - complete,admin1,2010-12-15 14:20:23.619,Variant 4,4,Group 2,task-4478,complete,T05 Print and send confirmation of receipt,Resource07,General,,Desk
case-4806,Confirmation of receipt - complete,Resource10,2010-12-17 10:22:27.456,Variant 5,5,Group 1,task-4636,complete,Confirmation of receipt,Resource34,General,,Post
case-4806,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:32:26.625,Variant 5,5,Group 4,task-4794,complete,T02 Check confirmation of receipt,Resource34,General,,Post
case-4806,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:35:20.827,Variant 5,5,Group 3,task-4831,complete,T04 Determine confirmation of receipt,Resource34,General,,Post
case-4806,T06 Determine necessity of stop advice - complete,Resource34,2010-12-17 12:08:11.969,Variant 5,5,EMPTY,task-4795,complete,T06 Determine necessity of stop advice,Resource34,General,,Post
case-4806,T10 Determine necessity to stop indication - complete,Resource34,2010-12-17 12:12:08.687,Variant 5,5,Group 1,task-4888,complete,T10 Determine necessity to stop indication,Resource34,General,,Post
case-4806,T05 Print and send confirmation of receipt - complete,admin1,2010-12-21 11:44:14.896,Variant 5,5,EMPTY,task-4838,complete,T05 Print and send confirmation of receipt,Resource34,General,,Post
case-4807,Confirmation of receipt - complete,Resource10,2010-12-17 10:21:46.261,Variant 5,5,Group 1,task-4645,complete,Confirmation of receipt,Resource22,General,,Desk
case-4807,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:27:55.552,Variant 5,5,Group 4,task-4790,complete,T02 Check confirmation of receipt,Resource22,General,,Desk
case-4807,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:35:37.087,Variant 5,5,Group 3,task-4818,complete,T04 Determine confirmation of receipt,Resource22,General,,Desk
case-4807,T06 Determine necessity of stop advice - complete,Resource22,2010-12-27 09:39:54.086,Variant 5,5,EMPTY,task-4791,complete,T06 Determine necessity of stop advice,Resource22,General,,Desk
case-4807,T10 Determine necessity to stop indication - complete,Resource22,2010-12-27 09:41:07.887,Variant 5,5,Group 1,task-5817,complete,T10 Determine necessity to stop indication,Resource22,General,,Desk
case-4807,T05 Print and send confirmation of receipt - complete,admin1,2010-12-30 13:07:07.218,Variant 5,5,Group 2,task-4839,complete,T05 Print and send confirmation of receipt,Resource22,General,,Desk
case-4808,Confirmation of receipt - complete,Resource10,2010-12-17 10:22:08.980,Variant 66,66,Group 1,task-4647,complete,Confirmation of receipt,Resource15,General,,Desk
case-4808,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:28:40.301,Variant 66,66,Group 4,task-4792,complete,T02 Check confirmation of receipt,Resource15,General,,Desk
case-4808,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:38:33.422,Variant 66,66,Group 3,task-4820,complete,T04 Determine confirmation of receipt,Resource15,General,,Desk
case-4808,T06 Determine necessity of stop advice - complete,Resource15,2010-12-24 10:50:19.906,Variant 66,66,EMPTY,task-4793,complete,T06 Determine necessity of stop advice,Resource15,General,,Desk
case-4808,T05 Print and send confirmation of receipt - complete,admin1,2010-12-30 13:07:27.346,Variant 66,66,Group 2,task-4848,complete,T05 Print and send confirmation of receipt,Resource15,General,,Desk
case-4808,T07-2 Draft intern advice aspect 2 - complete,Resource29,2011-01-18 14:18:44.152,Variant 66,66,EMPTY,task-5613,complete,T07-2 Draft intern advice aspect 2,Resource15,General,,Desk
case-4808,T06 Determine necessity of stop advice - complete,Resource29,2011-01-18 14:19:49.591,Variant 66,66,Group 1,task-8823,complete,T06 Determine necessity of stop advice,Resource15,General,,Desk
case-4808,T07-2 Draft intern advice aspect 2 - complete,Resource29,2011-01-18 14:20:07.827,Variant 66,66,Group 15,task-8828,complete,T07-2 Draft intern advice aspect 2,Resource15,General,,Desk
case-4808,T06 Determine necessity of stop advice - complete,Resource29,2011-01-18 14:20:39.983,Variant 66,66,Group 1,task-8829,complete,T06 Determine necessity of stop advice,Resource15,General,,Desk
case-4808,T07-2 Draft intern advice aspect 2 - complete,Resource29,2011-01-18 14:21:26.953,Variant 66,66,Group 15,task-8830,complete,T07-2 Draft intern advice aspect 2,Resource15,General,,Desk
case-4808,T06 Determine necessity of stop advice - complete,Resource29,2011-01-18 14:21:49.421,Variant 66,66,Group 1,task-8831,complete,T06 Determine necessity of stop advice,Resource15,General,,Desk
case-4808,T07-2 Draft intern advice aspect 2 - complete,Resource29,2011-01-18 14:22:23.694,Variant 66,66,Group 15,task-8833,complete,T07-2 Draft intern advice aspect 2,Resource15,General,,Desk
case-4808,T06 Determine necessity of stop advice - complete,Resource29,2011-01-18 14:22:55.328,Variant 66,66,Group 1,task-8834,complete,T06 Determine necessity of stop advice,Resource15,General,,Desk
case-4808,T07-2 Draft intern advice aspect 2 - complete,Resource29,2011-01-18 14:24:31.856,Variant 66,66,Group 15,task-8835,complete,T07-2 Draft intern advice aspect 2,Resource15,General,,Desk
case-4808,T06 Determine necessity of stop advice - complete,Resource15,2011-01-19 10:43:13.997,Variant 66,66,Group 7,task-8837,complete,T06 Determine necessity of stop advice,Resource15,General,,Desk
case-4808,T07-2 Draft intern advice aspect 2 - complete,Resource15,2011-01-19 10:43:31.437,Variant 66,66,Group 15,task-8929,complete,T07-2 Draft intern advice aspect 2,Resource15,General,,Desk
case-4808,T06 Determine necessity of stop advice - complete,Resource15,2011-01-19 10:43:46.628,Variant 66,66,Group 1,task-8930,complete,T06 Determine necessity of stop advice,Resource15,General,,Desk
case-4808,T10 Determine necessity to stop indication - complete,Resource15,2011-01-19 10:44:37.479,Variant 66,66,Group 1,task-8931,complete,T10 Determine necessity to stop indication,Resource15,General,,Desk
case-4809,Confirmation of receipt - complete,Resource10,2010-12-17 10:22:44.741,Variant 5,5,Group 1,task-4648,complete,Confirmation of receipt,Resource07,General,,Post
case-4809,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:32:51.677,Variant 5,5,Group 4,task-4796,complete,T02 Check confirmation of receipt,Resource07,General,,Post
case-4809,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:39:56.296,Variant 5,5,Group 3,task-4832,complete,T04 Determine confirmation of receipt,Resource07,General,,Post
case-4809,T06 Determine necessity of stop advice - complete,Resource07,2010-12-24 15:52:37.727,Variant 5,5,EMPTY,task-4797,complete,T06 Determine necessity of stop advice,Resource07,General,,Post
case-4809,T10 Determine necessity to stop indication - complete,Resource07,2010-12-24 15:57:48.331,Variant 5,5,Group 1,task-5766,complete,T10 Determine necessity to stop indication,Resource07,General,,Post
case-4809,T05 Print and send confirmation of receipt - complete,Resource07,2010-12-30 08:21:06.050,Variant 5,5,Group 2,task-4850,complete,T05 Print and send confirmation of receipt,Resource07,General,,Post
case-4810,Confirmation of receipt - complete,Resource10,2010-12-17 10:23:06.388,Variant 11,11,Group 1,task-4649,complete,Confirmation of receipt,Resource07,General,,Post
case-4810,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:30:06.351,Variant 11,11,Group 4,task-4798,complete,T02 Check confirmation of receipt,Resource07,General,,Post
case-4810,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:31:08.294,Variant 11,11,Group 3,task-4825,complete,T04 Determine confirmation of receipt,Resource07,General,,Post
case-4810,T06 Determine necessity of stop advice - complete,Resource07,2010-12-24 16:02:51.272,Variant 11,11,EMPTY,task-4799,complete,T06 Determine necessity of stop advice,Resource07,General,,Post
case-4810,T05 Print and send confirmation of receipt - complete,Resource07,2010-12-30 08:28:53.203,Variant 11,11,Group 2,task-4827,complete,T05 Print and send confirmation of receipt,Resource07,General,,Post
case-4810,T10 Determine necessity to stop indication - complete,Resource07,2011-01-04 08:24:48.655,Variant 11,11,Group 1,task-5777,complete,T10 Determine necessity to stop indication,Resource07,General,,Post
case-4811,Confirmation of receipt - complete,Resource10,2010-12-17 10:23:24.758,Variant 5,5,Group 1,task-4675,complete,Confirmation of receipt,Resource07,General,,Desk
case-4811,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:36:30.956,Variant 5,5,Group 4,task-4800,complete,T02 Check confirmation of receipt,Resource07,General,,Desk
case-4811,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:41:38.831,Variant 5,5,Group 3,task-4841,complete,T04 Determine confirmation of receipt,Resource07,General,,Desk
case-4811,T06 Determine necessity of stop advice - complete,Resource07,2010-12-24 16:07:05.547,Variant 5,5,EMPTY,task-4801,complete,T06 Determine necessity of stop advice,Resource07,General,,Desk
case-4811,T10 Determine necessity to stop indication - complete,Resource07,2010-12-24 16:09:05.193,Variant 5,5,Group 1,task-5778,complete,T10 Determine necessity to stop indication,Resource07,General,,Desk
case-4811,T05 Print and send confirmation of receipt - complete,Resource07,2010-12-30 13:35:39.251,Variant 5,5,Group 2,task-4852,complete,T05 Print and send confirmation of receipt,Resource07,General,,Desk
case-4814,Confirmation of receipt - complete,Resource10,2010-12-17 10:23:41.409,Variant 5,5,Group 1,task-4701,complete,Confirmation of receipt,Resource07,General,,Internet
case-4814,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:31:27.846,Variant 5,5,Group 4,task-4802,complete,T02 Check confirmation of receipt,Resource07,General,,Internet
case-4814,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:31:46.391,Variant 5,5,Group 3,task-4828,complete,T04 Determine confirmation of receipt,Resource07,General,,Internet
case-4814,T06 Determine necessity of stop advice - complete,Resource07,2010-12-24 14:39:16.689,Variant 5,5,EMPTY,task-4803,complete,T06 Determine necessity of stop advice,Resource07,General,,Internet
case-4814,T10 Determine necessity to stop indication - complete,Resource07,2010-12-24 14:41:08.088,Variant 5,5,Group 1,task-5695,complete,T10 Determine necessity to stop indication,Resource07,General,,Internet
case-4814,T05 Print and send confirmation of receipt - complete,Resource11,2010-12-29 13:08:53.593,Variant 5,5,Group 2,task-4829,complete,T05 Print and send confirmation of receipt,Resource07,General,,Internet
case-4827,Confirmation of receipt - complete,Resource10,2010-12-17 10:25:16.565,Variant 22,22,Group 1,task-4746,complete,Confirmation of receipt,Resource34,General,,Internet
case-4827,T02 Check confirmation of receipt - complete,Resource10,2010-12-17 10:33:06.722,Variant 22,22,Group 4,task-4808,complete,T02 Check confirmation of receipt,Resource34,General,,Internet
case-4827,T04 Determine confirmation of receipt - complete,Resource10,2010-12-17 10:40:11.444,Variant 22,22,Group 3,task-4833,complete,T04 Determine confirmation of receipt,Resource34,General,,Internet
case-4827,T06 Determine necessity of stop advice - complete,Resource07,2010-12-27 12:45:58.852,Variant 22,22,EMPTY,task-4809,complete,T06 Determine necessity of stop advice,Resource34,General,,Internet
case-4827,T10 Determine necessity to stop indication - complete,Resource07,2010-12-27 12:47:34.547,Variant 22,22,Group 1,task-5874,complete,T10 Determine necessity to stop indication,Resource34,General,,Internet
case-4827,T05 Print and send confirmation of receipt - complete,Resource07,2010-12-30 08:27:28.493,Variant 22,22,Group 2,task-4851,complete,T05 Print and send confirmation of receipt,Resource34,General,,Internet
case-4827,T11 Create document X request unlicensed - complete,admin2,2011-01-14 15:56:55.509,Variant 22,22,Group 1,task-5875,complete,T11 Create document X request unlicensed,Resource34,General,,Internet
case-4832,Confirmation of receipt - complete,Resource12,2010-12-20 11:15:59.433,Variant 1,1,EMPTY,task-4938,complete,Confirmation of receipt,Resource12,General,,Post
case-4832,T02 Check confirmation of receipt - complete,Resource12,2010-12-20 11:58:52.029,Variant 1,1,EMPTY,task-5035,complete,T02 Check confirmation of receipt,Resource12,General,,Post
case-4832,T04 Determine confirmation of receipt - complete,Resource12,2010-12-20 11:59:19.872,Variant 1,1,Group 3,task-5069,complete,T04 Determine confirmation of receipt,Resource12,General,,Post
case-4832,T05 Print and send confirmation of receipt - complete,Resource12,2010-12-20 12:00:32.783,Variant 1,1,EMPTY,task-5070,complete,T05 Print and send confirmation of receipt,Resource12,General,,Post
case-4832,T06 Determine necessity of stop advice - complete,Resource12,2010-12-20 12:07:19.758,Variant 1,1,Group 1,task-5036,complete,T06 Determine necessity of stop advice,Resource12,General,,Post
case-4832,T10 Determine necessity to stop indication - complete,Resource12,2010-12-20 12:08:11.685,Variant 1,1,Group 1,task-5077,complete,T10 Determine necessity to stop indication,Resource12,General,,Post
case-4833,Confirmation of receipt - complete,Resource07,2010-12-20 11:59:43.112,Variant 1,1,EMPTY,task-4940,complete,Confirmation of receipt,Resource07,General,,Internet
case-4833,T02 Check confirmation of receipt - complete,Resource19,2010-12-20 13:12:51.349,Variant 1,1,EMPTY,task-5071,complete,T02 Check confirmation of receipt,Resource07,General,,Internet
case-4833,T04 Determine confirmation of receipt - complete,Resource19,2010-12-22 09:38:39.114,Variant 1,1,EMPTY,task-5125,complete,T04 Determine confirmation of receipt,Resource07,General,,Internet
case-4833,T05 Print and send confirmation of receipt - complete,admin1,2010-12-24 09:48:18.886,Variant 1,1,Group 2,task-5382,complete,T05 Print and send confirmation of receipt,Resource07,General,,Internet
case-4833,T06 Determine necessity of stop advice - complete,Resource07,2010-12-24 14:56:31.361,Variant 1,1,Group 1,task-5072,complete,T06 Determine necessity of stop advice,Resource07,General,,Internet
case-4833,T10 Determine necessity to stop indication - complete,Resource07,2010-12-24 14:58:08.132,Variant 1,1,Group 1,task-5710,complete,T10 Determine necessity to stop indication,Resource07,General,,Internet
case-4834,Confirmation of receipt - complete,Resource07,2010-12-20 17:02:46.928,Variant 1,1,EMPTY,task-4961,complete,Confirmation of receipt,Resource11,General,,Internet
case-4834,T02 Check confirmation of receipt - complete,Resource19,2010-12-22 09:52:52.099,Variant 1,1,EMPTY,task-5214,complete,T02 Check confirmation of receipt,Resource11,General,,Internet
case-4834,T04 Determine confirmation of receipt - complete,Resource10,2010-12-22 10:50:08.896,Variant 1,1,Group 3,task-5389,complete,T04 Determine confirmation of receipt,Resource11,General,,Internet
case-4834,T05 Print and send confirmation of receipt - complete,admin1,2010-12-24 09:59:17.610,Variant 1,1,Group 2,task-5423,complete,T05 Print and send confirmation of receipt,Resource11,General,,Internet
case-4834,T06 Determine necessity of stop advice - complete,Resource11,2010-12-28 07:46:32.295,Variant 1,1,Group 1,task-5215,complete,T06 Determine necessity of stop advice,Resource11,General,,Internet
case-4834,T10 Determine necessity to stop indication - complete,Resource11,2010-12-28 07:48:12.199,Variant 1,1,Group 1,task-5941,complete,T10 Determine necessity to stop indication,Resource11,General,,Internet
case-4837,Confirmation of receipt - complete,Resource07,2010-12-20 16:57:01.202,Variant 1,1,EMPTY,task-4975,complete,Confirmation of receipt,Resource07,General,,Internet
case-4837,T02 Check confirmation of receipt - complete,Resource19,2010-12-22 09:40:30.035,Variant 1,1,EMPTY,task-5212,complete,T02 Check confirmation of receipt,Resource07,General,,Internet
case-4837,T04 Determine confirmation of receipt - complete,Resource10,2010-12-22 09:47:15.917,Variant 1,1,Group 3,task-5383,complete,T04 Determine confirmation of receipt,Resource07,General,,Internet
case-4837,T05 Print and send confirmation of receipt - complete,admin1,2010-12-24 09:42:30.661,Variant 1,1,Group 2,task-5386,complete,T05 Print and send confirmation of receipt,Resource07,General,,Internet
case-4837,T06 Determine necessity of stop advice - complete,Resource07,2010-12-24 15:18:12.487,Variant 1,1,Group 1,task-5213,complete,T06 Determine necessity of stop advice,Resource07,General,,Internet
case-4837,T10 Determine necessity to stop indication - complete,Resource07,2010-12-24 15:20:07.739,Variant 1,1,Group 1,task-5721,complete,T10 Determine necessity to stop indication,Resource07,General,,Internet
case-4891,Confirmation of receipt - complete,Resource07,2010-12-23 16:54:48.171,Variant 1,1,EMPTY,task-5251,complete,Confirmation of receipt,Resource11,General,,Internet
case-4891,T02 Check confirmation of receipt - complete,Resource19,2010-12-24 11:36:43.053,Variant 1,1,EMPTY,task-5553,complete,T02 Check confirmation of receipt,Resource11,General,,Internet
case-4891,T04 Determine confirmation of receipt - complete,Resource10,2010-12-24 12:01:13.266,Variant 1,1,Group 3,task-5628,complete,T04 Determine confirmation of receipt,Resource11,General,,Internet
case-4891,T05 Print and send confirmation of receipt - complete,Resource11,2010-12-28 08:01:37.583,Variant 1,1,Group 2,task-5637,complete,T05 Print and send confirmation of receipt,Resource11,General,,Internet
case-4891,T06 Determine necessity of stop advice - complete,Resource11,2010-12-29 10:23:42.144,Variant 1,1,Group 1,task-5554,complete,T06 Determine necessity of stop advice,Resource11,General,,Internet
